engine,cycle,setting_1,setting_2,(LPC outlet temperature) (◦R),(HPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(HPC outlet pressure) (psia),(Physical fan speed) (rpm),(Physical core speed) (rpm),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Corrected fan speed) (rpm),(Bypass Ratio) ,(Bleed Enthalpy),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow)
1,1,34.9983,0.84,555.32,1358.61,1137.23,194.64,2222.65,8341.91,42.02,183.06,2387.72,9.3461,334,14.73,8.8071
1,2,41.9982,0.8408,549.9,1353.22,1125.78,138.51,2211.57,8303.96,42.2,130.42,2387.66,9.3774,330,10.41,6.2665
1,3,24.9988,0.6218,537.31,1256.76,1047.45,175.71,1915.11,8001.42,36.69,164.22,2028.03,10.8941,309,14.08,8.6723
1,4,42.0077,0.8416,549.51,1354.03,1126.38,138.46,2211.58,8303.96,41.96,130.72,2387.61,9.3528,329,10.59,6.4701
1,5,25.0005,0.6203,537.07,1257.71,1047.93,175.05,1915.1,7993.23,36.89,164.31,2028.0,10.8963,309,14.13,8.5286
1,6,25.0045,0.6205,537.02,1266.38,1048.72,175.17,1915.15,7996.1,36.78,164.27,2028.01,10.8912,306,14.28,8.559
1,7,42.0043,0.8409,549.74,1347.45,1127.19,138.71,2211.62,8307.75,42.19,130.49,2387.69,9.3753,330,10.62,6.4227
1,8,20.002,0.7002,607.44,1481.69,1252.36,334.41,2323.87,8709.12,44.27,315.11,2387.99,9.2369,365,24.33,14.7989
1,9,41.9995,0.8407,549.33,1348.23,1127.45,138.06,2211.61,8312.33,42.3,130.97,2387.62,9.3878,331,10.69,6.3802
1,10,42.0011,0.84,549.33,1356.4,1127.11,138.7,2211.56,8302.31,42.02,130.5,2387.62,9.3957,329,10.57,6.2847
1,11,42.0029,0.84,549.81,1352.72,1126.23,137.81,2211.59,8301.22,42.05,130.41,2387.64,9.3871,331,10.51,6.3394
1,12,0.0015,0.001,642.7,1585.52,1402.63,553.93,2388.12,9038.84,47.34,521.29,2388.16,8.3892,393,39.04,23.2694
1,13,20.0003,0.7,607.67,1488.74,1256.1,335.33,2323.87,8710.39,44.43,314.77,2388.04,9.1968,365,24.4,14.7202
1,14,42.002,0.8407,549.47,1352.69,1121.2,138.6,2211.59,8312.22,42.11,130.6,2387.69,9.3905,330,10.69,6.323
1,15,10.0038,0.2513,604.57,1501.72,1305.97,395.21,2318.87,8765.1,45.49,372.03,2388.14,8.6079,369,28.54,17.1272
1,16,35.0053,0.8419,555.56,1362.41,1126.95,194.44,2222.76,8336.74,41.74,182.78,2387.76,9.3232,332,14.96,8.9446
1,17,25.0077,0.6217,536.25,1260.07,1053.0,175.21,1915.12,8005.82,36.73,164.53,2028.03,10.8616,307,14.07,8.5935
1,18,34.9996,0.8404,555.45,1365.15,1135.62,193.77,2222.7,8336.57,41.98,182.72,2387.72,9.3419,334,14.99,8.9676
1,19,42.0018,0.84,549.07,1349.47,1134.82,138.72,2211.59,8300.02,42.02,130.42,2387.63,9.3798,332,10.49,6.4195
1,20,20.002,0.7015,607.9,1482.44,1255.75,334.43,2323.94,8708.9,44.43,314.85,2388.08,9.2623,366,24.46,14.6601
1,21,42.0028,0.8403,549.68,1350.29,1130.26,137.93,2211.59,8303.44,42.28,129.98,2387.62,9.3824,331,10.56,6.3982
1,22,42.0043,0.8419,549.58,1352.73,1129.43,138.79,2211.58,8300.2,42.01,130.79,2387.72,9.3587,330,10.58,6.4241
1,23,41.9987,0.8416,549.44,1347.47,1126.3,138.55,2211.59,8300.28,41.97,130.48,2387.76,9.3398,331,10.56,6.4308
1,24,42.0011,0.84,550.18,1352.82,1127.92,138.21,2211.59,8308.75,42.03,130.17,2387.64,9.3807,332,10.48,6.3598
1,25,42.0063,0.84,549.42,1350.32,1122.44,139.02,2211.59,8306.69,42.25,130.73,2387.64,9.348,332,10.55,6.4923
1,26,42.0001,0.8402,549.36,1357.42,1125.15,138.68,2211.71,8308.9,42.16,130.42,2387.67,9.3704,331,10.62,6.3448
1,27,25.0058,0.6206,537.01,1263.21,1048.03,176.05,1915.13,7998.23,36.77,164.3,2027.94,10.9077,308,14.27,8.6005
1,28,0.0022,0.0,643.04,1589.28,1403.5,554.08,2388.13,9037.52,47.65,521.17,2388.14,8.4871,392,38.93,23.2184
1,29,0.0007,0.0,642.48,1599.79,1415.68,553.49,2388.1,9039.24,47.33,521.33,2388.07,8.4545,390,38.73,23.1713
1,30,20.006,0.7011,607.78,1485.69,1244.78,334.53,2323.89,8713.7,44.35,314.92,2388.06,9.2372,365,24.43,14.6832
1,31,10.005,0.25,605.13,1504.85,1310.94,394.19,2318.93,8760.33,45.41,371.28,2388.16,8.6276,368,28.5,17.0825
1,32,10.0038,0.25,604.69,1509.93,1317.2,394.21,2318.93,8763.76,45.32,372.0,2388.1,8.6558,369,28.65,17.2355
1,33,0.0028,0.0,643.13,1583.81,1404.98,553.55,2388.11,9039.84,47.61,521.55,2388.13,8.4411,393,39.01,23.2935
1,34,0.0012,0.0008,642.24,1587.04,1406.72,553.6,2388.15,9036.68,47.57,521.15,2388.13,8.4196,392,39.02,23.2997
1,35,10.0066,0.251,605.25,1504.23,1306.63,394.24,2319.01,8765.65,45.48,371.35,2388.15,8.6566,368,28.74,17.1825
